Section,Transportation,Travel Time,Height,Shoe Size,Random Number
1260,Car,5,60,6.5,23
1245,Walk or Bike,4.5,64,7,14
1215,Car,1.33,71,13,55
1245,Bus,7,71,10,52
1240,Car,4,62,6,7
1240,Car,0.5,61,7.5,47
1250,Plane,8,73,10.5,24
1215,Plane,4.75,71,9,33
1255,Car,4.5,70,9,57
1240,Car,0.55,74,12.5,77
1245,Bus,0.33,67,7.5,19
1260,Car,4.5,70,10.5,94
1215,Car,0.25,65,7.5,60
1255,Plane,2,65,8,17
1245,Car,5,74,11,26
1260,Car,3.75,70,11,21
1255,Car,4,70,10.5,3
1215,Car,4,65,9,26
1245,Bus,4.45,64,7.5,29
1215,Bus,0.5,62,7,55
1245,Bus,5.25,74,10,43
1240,Car,6,70,10.5,12
1240,Car,0.55,69,11,10
1215,Car,5,66,7,22
1245,Car,4.5,61,6.5,78
1255,Car,1,68,9.5,17
1255,Car,4.3,76,14,44
1245,Car,3.5,70,10,13
1215,Car,0.33,67,7.5,83
1245,Plane,1.3,70,10,7
1255,Car,5,72,11.5,27
1255,Car,5,71,11,99
1255,Car,4.5,72,11,67
1255,Car,3,76,12,19
1255,Car,4.5,67,10,32
1255,Bus,4.5,70,11,84
1255,Plane,1,67,8,53
1255,Plane,13,65,8,88
1255,Car,0.25,73,12,9
1255,Car,0.33,68,8.5,44
1255,Plane,6,68,11.5,7
1255,Plane,2,69,11,13
1240,Plane,1.16,62,8.5,49
1255,Plane,1,66,8,24
1255,Car,4.5,77,12,69
1240,Car,4,71,10,2
1245,Car,2,70,11,33
1250,Car,0.5,70,10,77
1255,Car,4.5,75,11.5,20
1260,Car,4.5,74,9.5,7
1260,Car,4.5,73,11,25
1255,Car,0.5,65,9,12
1255,Walk or Bike,4.5,64,9,17
1255,Car,4,71,11.5,1
1255,Car,2,68,10,69
1255,Train,5,71,11,42
1255,Train,8,66,9,0.125
1255,Car,2,66,9,52
1255,Car,0.5,78,13,27
1255,Car,4,70,14,5
1255,Plane,1.5,68,9,10
1255,Car,1.75,62,6.5,7
1255,Car,4,63,6,16
1255,Walk or Bike,0.166,72,11,23
1260,Plane,3,70,10.5,20
1255,Car,5,66,7,50
1255,Car,0.33,67,8.5,21
1255,Car,5.5,64,8.5,99
1255,Plane,1.5,70,10.5,9
1260,Car,3.5,62,7,13
1260,Car,4.5,65,7.5,4
1255,Bus,0.33,64,8,13
1245,Car,4.25,72,10.5,8
1260,Car,4.5,63,6.5,17
1260,Plane,1,64,7,8
1240,Car,0.66,70,9.5,10
1245,Car,0.5,62,6,77
1260,Plane,0.55,67,9,43
1260,Car,4,65,7.5,26
1240,Car,0.66,70,10,64
1260,Car,2,68,10,17
1255,Car,2,71,10.5,20
1240,Car,30,62,6,50
1255,Car,0.5,66,9,65
1260,Car,0.5,72,11.5,69
1245,Car,0.33,61,7,12
1260,Car,5.5,73,11.5,10
1260,Car,4.5,72,11,75
1260,Bus,0.33,74,12,80
1260,Plane,1.5,71,9.5,14
1260,Plane,1.25,69,9.5,57
1260,Car,3.5,74,10,2
1260,Bus,7,71.5,11,17
1260,Plane,1,69,11,23
1260,Car,4,76,14,76
1260,Bus,5.5,72,10,50
1255,Car,5.5,62,7,33
1245,Plane,1,65,8,81
1260,Plane,3.5,74,13,51
1260,Bus,5,68,10,32
1260,Train,7.5,69,9,93
1260,Plane,2.33,70,10,21
1260,Car,2,65,9,20
1215,Car,30,69,8.5,28
1255,Car,4.5,65,6.5,48
1215,Car,0.5,64,8,33
1260,Car,1,65,10,24
1215,Car,0.33,70,9,93
1245,Car,5,67,9,55
1260,Plane,2,71,10,87
1260,Car,4,67,8,58
1260,Car,5,70,10,45
1260,Car,4.5,66,9,78
1215,Walk or Bike,0.25,75,11,77
1255,Car,6.5,72,13,17
1260,Car,4.3,70,10,15
1260,Car,5.5,69,11.5,9
1260,Car,4,65,7.5,9
1255,Car,5,72,12,40
1245,Plane,2.5,69,10,16
1260,Car,4.5,63,8,77
1260,Plane,20,67,8,7
1260,Plane,20,63.8,7,100
1240,Car,3,72,10,6
1260,Car,4.5,72,11.5,87
1260,Car,0.5,66,8,16
1255,Plane,1.5,64,8,28
1260,Plane,1,67,9,15
1255,Car,4,66,7,12
1240,Car,1.5,62,6,24
1250,Car,1.25,69,9.5,3
1240,Car,4.5,71,10.5,5
1260,Bus,661,61,7,88
1245,Car,4,68,10,66
1260,Car,0.5,66,8.5,21
1240,Car,6,71,10.5,10
1260,Car,5,65,6.5,42
1215,Bus,0.4,62.9,8.5,7
1255,Car,0.5,65,10,9
1255,Car,4.5,66,8.5,54
1250,Car,4.5,71,11.5,72
1215,Walk or Bike,0,54,8,62
1255,Bus,3.75,63,6,13
1245,Car,4.5,71,12.5,4
1215,Walk or Bike,5,74,12,21
1215,Car,4.25,65,7.5,34
1260,Car,4.5,66,7,17
1245,Car,0.33,75,12,9
1260,Car,5.5,65,7,17
1260,Car,2,67,8,19
1245,Car,4.33,72,12,29
1265,Bus,4.5,64,6.5,7
1265,Car,4,68,10,5
1255,Plane,1.33,61,5.5,27
1215,Car,5.5,62,5,77
1255,Car,0.33,70,10,2
1265,Car,5.5,67,10,13
1265,Train,5,71,13,24
1265,Car,5,76,11,22
1265,Car,0.66,66,9,13
1250,Car,4.5,70,11,58
1215,Car,5,65,9,25
1260,Car,1,62,6.5,75
1255,Bus,4.92,67,9.5,21
1265,Car,0.16,62,7.5,49
1250,Car,3.5,65,8.5,14
1265,Plane,2,72,11.5,2
1260,Car,3.5,66,9.5,24
1260,Plane,24,69,10.5,11
1245,Car,4.5,75,12,88
1265,Car,5,68,10,100
1245,Car,0.5,74,12,14
1265,Car,7,68,9,24
1215,Car,4.5,69,9,12
1245,Car,3.5,63,7,52
1215,Car,0.33,68,8,42
1240,Plane,3,68,9,73
1260,Plane,16,65,37,27
1260,Car,6,62,7,45
1215,Bus,0.45,70,10.5,40
1240,Car,0.33,75,11,13
1265,Plane,9.05,69,11,17
1245,Plane,2,73,12,16
1255,Car,4,65,8,7
1215,Car,1.45,68,10,6
1255,Car,4.5,64,8,14
1245,Plane,2.5,67,9.5,50
1245,Car,4.3,66,9,33
1260,Plane,30,70,8.5,14
1260,Car,4.5,58,6.5,40
1215,Car,0.833,73,11,2
1255,Car,4.5,63,8.5,88
1215,Car,0.5,68,9.5,34
1255,Bus,4.25,70,9,7
1255,Bus,5.25,62,6.5,7
1265,Car,3.5,72,13,11
1215,Car,5.3,60,7,78
1245,Car,3.5,68,9.5,1
1250,Car,5,64,8,23
1255,Car,0.33,68,10,52
1255,Car,6,70,10.5,42
1215,Car,0.4,69,12,27
1215,Walk or Bike,0.166,69,9,44
1245,Plane,2,68,9,57
1255,Car,0.75,67,6.5,3
1215,Car,4.5,72,11,72
1245,Car,4.5,62,7.5,73
1215,Plane,8,59,6,14
1215,Bus,8,64,7.5,80
1215,Car,2.5,65,9,69
1215,Bus,4.25,69,11,13
1215,Plane,6.25,69,10.5,28
1240,Car,0.5,70,10.5,10
1250,Bus,5.5,64,9,72
1245,Car,0.5,68,11,59
1250,Car,0.67,64,7.5,15
1250,Car,0.5,60,6,56
1250,Plane,9.5,70,10,13
1215,Car,0.5,74,12,19
1215,Car,0.33,68,10,25
1215,Car,4,72,10,1
1215,Car,4.5,69,10,69
1215,Car,5,61,6,18
1215,Car,5,62,6,88
1215,Car,4.25,61,7,19
1245,Plane,3.5,69,8,13
1215,Car,3,65,7.5,1
1215,Car,0.33,71,12,2
1240,Bus,4,74,13,73
1240,Car,4.5,71,11.5,66
1215,Plane,1,67,7,57
1240,Car,4,66,8.5,22
1245,Car,0.5,64,6.5,77
1215,Car,4,73,10,13
1215,Car,0.33,70,10.5,4
1240,Car,4.5,69,10,12
1215,Car,5,62,7,19
1240,Car,3.5,66,7.5,23
1240,Walk or Bike,0.15,62,6,99
1250,Car,3.5,61,7,44
1240,Car,0.5,70,9,21
1215,Plane,4.25,77,13,99
1240,Car,0.5,71,10.5,58
1240,Car,0.33,63,6,84
1245,Plane,1.5,65,8.5,18
1240,Car,0.75,73,12,4
1240,Car,4.33,64,7.5,73
1240,Car,4.5,64,8.5,52
1240,Car,0.4,72,12,73
1255,Car,5,69,10,13
1245,Car,1,72,11.5,89
1240,Bus,5,70,10,7
1255,Train,8,71,10.5,50
1255,Car,0.5,62,6,14
1260,Car,5,65,8,15
1245,Car,0.33,64,6,42
1260,Plane,0.8,73,11,93
1240,Walk or Bike,4.25,66,9,98
1240,Car,4.3,73,10,6
1240,Car,0.33,71,10.5,99
1255,Plane,2,70,12,50
1240,Car,0.5,66,8,9
1245,Plane,5,73,11,34
1240,Bus,5,64,7,35
1240,Car,3,75,10.5,8
1260,Car,5,63,7,14
1240,Train,7.5,65,7.5,73
1245,Car,4.5,67,8,89
1245,Car,6,68,9.5,17
1245,Car,30,72,13,25
1245,Plane,0.45,69,8.5,52
1245,Car,5,75,14,98
1255,Car,5,70,10,73
1215,Car,0.5,71,12,88
1215,Car,0.75,67,9,21
1215,Car,2,64,7.5,26
1240,Car,4.25,63,6,80
1240,Car,0.25,68,10,73
1240,Walk or Bike,4.3,75,14,5
1265,Car,4.25,72,10.5,1
1250,Car,4.5,72,11.5,69
1240,Car,0.75,63,7.5,29
1265,Car,8,73,10.5,68
1245,Car,2,69,11,23
1245,Plane,2.5,77,12,68
1250,Car,0.5,73,12.5,67
1215,Car,4.5,72,11,97
1245,Car,4.5,63,7,50
1245,Car,0.45,64,9,45
1245,Plane,1.5,65,8,78
1250,Car,4.5,70,10,23
1215,Car,0.33,70,10,1
1250,Car,6,70,10,16
1250,Car,0.66,66,7.5,22
1245,Car,5.5,70,9.5,8
1245,Bus,5.3,76,13,7
1215,Car,2.5,66,7.5,24
1245,Car,0.5,70,11,65
1240,Car,0.5,68,10,15
1250,Plane,7.5,73,10.5,47
1245,Car,4.5,67,9,45
1250,Car,5,62,7,82
1255,Bus,4.25,70,10.5,22
1245,Car,0.17,74,12,21
1245,Car,0.63,62,6,74
1245,Car,0.33,70,11,21
1245,Bus,5,63,8,88
1245,Car,4.5,65,9,5
1250,Plane,1.5,66,9,89
1250,Car,1.15,65,9,26
1250,Car,4.5,77,13.5,4
1260,Car,0.5,70,10.5,69
1215,Car,3.5,74,11,17
1245,Plane,1,70.5,10,68
1245,Plane,5.5,74,12,7
1250,Bus,4,68,8,37
1240,Car,5,66,7,77
1255,Car,5,71,10.5,77
1245,Car,0.67,65,8.5,22
1250,Car,0.67,59,10,11
1250,Car,4.5,72,10.5,2
1240,Plane,2,67,9,7
1240,Car,4.5,66,10.5,100
1245,Car,4,66,9,32
1240,Car,1,67,8.5,8
1215,Walk or Bike,0.15,68,9.5,33
1260,Car,4,65,7.5,26
1255,Car,5,75,12,14
1240,Plane,15,73,10.5,18
1245,Walk or Bike,0.17,67,8,88
1215,Car,0.33,60,7.5,87
1250,Car,4.5,63,6,7
1250,Bus,4,58,7,88
1215,Car,3.5,60,7,72
1215,Walk or Bike,149,67,10,55
1245,Car,1.5,63,8,44
1215,Car,0.4,70,9.5,96
1240,Car,5.25,65,9,27
1215,Car,1,71,8.5,60
1240,Car,4.33,62,7.5,68
1250,Plane,2,72,11,18
1255,Plane,6.5,67,10,34
1245,Plane,1,65,8,63
1260,Bus,1.5,69,9.5,20
1245,Car,1.5,71,11,17
1240,Car,5.5,62,7,54
1215,Car,4.75,68,10.5,55
1250,Car,6,72,11,4
1215,Car,2,65,8.5,93
1240,Bus,4,74,12.5,1
1240,Car,3.15,69,10.5,30
1240,Bus,0.33,63,7.5,38
1215,Walk or Bike,1,72,11,27
1240,Bus,6,74,13,77
1245,Car,5,71,12,76
1265,Bus,5,70,9,21
1215,Plane,1.75,65,11,99
1255,Car,4,65,8,72
1260,Car,5,74,11,7
1250,Walk or Bike,0.25,75,13,3
1255,Walk or Bike,0.1,72,10,22
1255,Plane,1,64,7,47
1245,Car,5,61,8,12
1215,Car,4.8,71,10,18
1240,Plane,20,68,36,1
1250,Plane,3.5,63,8,89
1240,Car,0.33,63,8,77
1255,Walk or Bike,0.1,61,6,22
1245,Car,0.33,66,11,77
1245,Plane,6.5,69,8.5,5
1240,Car,0.0833,67,8.5,8
1250,Plane,26,67,11,23
1215,Car,0.5,67,7,34
1215,Car,0.75,69,10.5,4
1245,Plane,0.9,77,10.5,36
1215,Car,0.5,72,11,72
1240,Car,0.33,65,7,8
1255,Car,3.75,67,9.5,33
1255,Car,4,70,9.5,11
1240,Bus,1.2,68,9,1
1260,Car,0.33,74,14,55
1260,Car,0.5,77,10.5,77
1240,Car,4.5,70,10,47
1240,Car,0.25,68,10,7
1245,Car,4.5,68,10.5,1
1245,Car,0.33,66,9,66
1245,Plane,4,65,8,7
1250,Car,0.33,72,11.5,21
1250,Walk or Bike,0.25,65,7,50
1215,Car,0.5,72,10,91
1215,Plane,16,62,37,88
1245,Plane,18,63,36,6
1255,Car,0.33,75,12,22
1240,Car,5,70,10.5,11
1260,Plane,1,69,9.5,33
1260,Car,4.5,74,12,27
1250,Car,4.5,76,15,81
1215,Car,4.5,72,10.5,13
1255,Plane,5.5,57,8.5,99
1215,Car,4.5,71,10,77
1245,Car,0.17,68,10,6
1250,Bus,5,69,10.5,6
1240,Bus,5.5,74,11,1
1245,Bus,5.5,73,11,12
1245,Plane,2,69,11,33
1240,Plane,1.33,62,6.5,8
1250,Car,0.66,69,10,64
1255,Plane,6.5,67,10,34
1260,Plane,4.5,74,12,37
1215,Car,4.3,66,8.5,21
1255,Car,0.5,69,11,2
1245,Car,3.5,72,11,67
1245,Bus,6,74,13,44
1240,Car,4,66,9,42
1245,Car,1,64,8,73
1240,Car,0.25,76,12,47
1240,Plane,2,68,10,13
1240,Car,0.33,68,8,100
1215,Car,0.33,74,11,17
1245,Plane,18,63,36,6
1240,Plane,0.5,72,10,30
1250,Walk or Bike,0.1,75,12,16
1260,Car,4.5,73,13,7
1240,Plane,1.5,68,10,43
1255,Car,0.5,74,11,5
1260,Plane,13,64,8,25
1245,Car,4.25,69,11.5,46
1240,Car,0.33,70,9.5,65
1215,Car,1,70,10,89
1250,Car,3.5,67,10,10
1260,Car,4.5,63,7,16
1245,Plane,1.5,76,12,77
1240,Plane,2,69,9,63
1255,Car,3.75,73,13,76
1240,Bus,3.5,64,7.5,10
1240,Car,57,76,12,69
1215,Car,0.33,64,8,14
1215,Car,3.25,70,11,2
1245,Car,5,64,9.5,22
1245,Car,4.3,66,7,73
1260,Plane,7,69,10.5,12
1245,Car,0.25,62,5.5,12
1245,Car,0.5,75,12,85
1260,Plane,1,64,7,9
1255,Car,5,67,10,28
1245,Bus,4.25,68,9,72
1250,Car,0.66,60,6,7
1215,Plane,2.3,70,9,73
1255,Car,4.75,63,8,12
1260,Car,2,67,8,19
1250,Car,0.33,69,10,70
1240,Bus,4.5,70,11,30
1240,Car,4,63,6.5,78
1240,Plane,18,70,9.5,66
1240,Plane,1,75,13,99
1245,Train,7.5,66,9,10
1245,Car,18,72,10.5,72
1245,Car,1.5,76,11,96
1215,Car,0.5,71,10,9
1240,Car,0.33,63,6.5,50
1250,Bus,5,63,8.5,96
1215,Walk or Bike,0.25,71.5,10.5,4
1215,Car,5,66,7,32
1245,Plane,3,74.5,12.5,93
1245,Car,0.2,74,13,23
1215,Car,5.5,71,10.5,88
1215,Car,0.33,64,8,88
1240,Car,3,73,11,83
1245,Car,4,71,10.5,5
1260,Car,0.5,67,9,20
1250,Plane,4,66,10,13
1215,Car,0.5,64,8,9
1250,Car,0.33,67,10.5,24
