ID,Gender,Job_grade,Time_in_grade,Pay_rate
1,F,2,1.5,1903.836
2,F,4,0.5,1803.78
3,F,2,1.5,1485
4,M,8,1.5,3287.328
5,M,4,0.46,2045.384
6,F,2,1.5,1560.9
7,F,2,1.13,1523.082
8,F,3,0.5,1589.808
9,F,2,0.79,1599.246
10,F,2,1.5,1523.082
11,M,6,0.5,2513.082
12,M,8,0.5,3109.59
13,F,3,1.5,1749
14,M,3,1.5,2255
15,F,4,0.5,1907.4
16,F,3,0.54,1713.492
17,M,5,0.5,2766.236
18,F,1,1.5,1552.254
19,M,7,0.5,2315.082
20,F,2,0.5,1617
21,F,2,1.5,1716
22,M,7,0.5,2760.582
23,M,7,5,2780.778
24,F,2,0.71,1523.082
25,F,6,2.5,2961.574
26,M,8,5,3101.67
27,F,2,1.5,1643.4
28,F,2,2.5,1735.8
29,M,7,1.5,2442
30,F,5,0.5,2030.82
31,F,2,0.21,1523.082
32,F,1,1.29,1425.6
33,F,7,1.5,3448.082
34,M,5,2.5,2354
35,F,5,2.5,1941.456
36,M,3,1.5,2387
37,M,3,0.5,2439.8
38,F,7,0.5,3377.924
39,F,1,2.21,1446.918
40,M,4,1.5,2331.164
41,F,2,0.79,1355.574
42,F,6,2.5,2912.8
43,M,5,1.5,2483.492
44,F,3,0.63,1675.41
45,M,7,2.5,2690.82
46,M,4,3.5,2435.84
47,M,7,4.5,2462.328
48,F,4,0.5,2310
49,M,7,4.5,3300
50,M,5,0.71,2067.164
51,F,8,0.5,3701.984
52,F,5,2.5,2178
53,M,7,5,3010.128
54,M,8,0.5,3046.164
55,F,3,0.5,1834.8
56,M,7,5,2779.656
57,M,6,5,2538.492
58,M,7,5,2779.656
59,F,5,1.5,1789.92
60,M,3,1.5,2255
61,F,3,5,1848
62,F,2,0.29,1523.082
63,F,3,0.88,1840.41
64,F,4,0.5,1789.656
65,F,7,2.5,3219.59
66,F,2,2.5,1643.4
67,F,6,0.5,2894.254
68,F,3,1.5,2094.246
69,M,3,0.5,2267.628
70,F,3,1.5,1878.426
71,F,2,0.88,1452.99
72,M,6,0.5,2583.108
73,M,6,3.5,2324.52
74,M,7,1.54,2706
75,F,1,0.96,1382.172
76,F,2,1.63,1675.41
77,F,5,0.5,1947
78,F,4,0.13,1903.836
79,M,5,3.5,3029.246
80,F,3,1.5,1815
81,F,3,1.5,1865.82
82,F,1,0.79,1500.246
83,M,7,5,2728.902
84,M,7,5,3341.25
85,F,4,0.13,1605.384
86,M,8,3.29,3300
87,M,5,0.38,2212.826
88,F,2,1.5,1789.656
89,M,3,0.5,2202.2
90,F,4,0.13,1967.328
91,F,4,0.5,1815
92,F,5,1.5,1963.5
93,F,2,2.5,1511.4
94,F,3,0.5,1751.574
95,F,2,1.21,1544.4
96,F,1,0.5,1733.688
97,M,7,1.5,2442
98,F,1,4.5,1713.492
99,F,2,2.5,1749
100,F,2,0.13,1716.528
101,M,3,2.5,2242.328
102,M,8,4.5,2703.492
103,F,5,0.5,1782
104,F,1,0.21,1386
105,F,4,0.5,1605.384
106,M,7,0.5,2343
107,F,3,1.5,1795.2
108,M,7,5,2577.3
109,F,2,1.29,1591.656
110,M,6,2.96,2106.984
111,M,8,5,2805
112,F,6,0.5,2847.328
113,F,1,1.04,1325.082
114,F,7,2.5,3308.492
115,M,6,0.5,2497.836
116,F,3,1.5,1848
117,F,2,2.5,1663.2
118,F,2,1.5,1694.418
119,F,2,0.5,1650
120,F,2,2.5,1511.4
121,F,4,0.5,1980
122,F,2,1.04,1716
123,M,7,5,3141.402
124,M,8,5,2805
125,F,5,0.5,2005.41
126,M,7,0.54,2582.844
127,F,2,1.79,1561.23
128,M,7,4.5,2779.656
129,F,2,1.21,1732.5
130,F,2,0.5,1776.984
131,M,7,5,2944.656
132,F,4,2.21,1776.918
133,M,7,3.5,2706
134,F,7,0.5,3353.438
135,F,1,1.13,1294.656
136,F,5,0.79,1992.738
137,M,8,5,3414.246
138,M,5,5,3029.246
139,F,2,1.21,1764.246
140,F,1,0.5,1346.4
141,F,6,1.5,3083.41
142,F,4,1.5,2049.828
143,M,7,1.5,2619.738
144,F,4,0.13,1605.384
145,F,8,0.5,4103
146,F,3,1.5,1782
147,F,1,1.5,1883.574
148,M,7,3.5,2792.328
149,F,2,0.79,1372.8
150,F,4,0.5,1903.902
151,F,1,0.88,1535.292
152,F,7,1.96,3822.5
153,F,6,2.5,3058
154,F,1,1.5,1799.82
155,F,2,2.5,1511.4
156,F,7,1.5,3448.082
157,M,4,0.5,2045.384
158,M,8,1.5,2970
159,M,8,5,3046.164
160,F,5,1.5,1907.07
161,M,7,3.71,2481.6
162,F,6,5,3259.828
163,M,8,5,3071.574
164,F,5,0.5,1827.738
165,F,2,0.04,1523.082
166,M,7,4.5,2487.672
167,F,3,0.13,1840.41
168,F,2,0.5,1617
169,F,5,1.5,2360.82
170,F,2,0.71,1561.164
171,F,4,0.5,2030.82
172,F,6,0.88,3520
173,M,4,1.5,2406.8
174,F,2,1.5,1768.8
175,F,1,0.79,1298.418
176,F,6,0.5,2890.492
177,F,1,1.04,1294.656
178,F,5,0.5,1716
179,F,1,0.29,1370.82
180,F,1,0.71,1577.4
181,F,4,0.71,1675.41
182,M,8,2.5,2538.426
183,F,2,1.54,1713.492
184,F,3,0.5,1695.21
185,M,8,1.5,2970
186,F,7,0.5,4092.176
187,F,2,0.79,1355.574
188,M,8,5,3141.402
189,M,5,1.5,2228.006
190,M,5,0.54,2067.164
191,F,2,0.21,1396.164
192,F,5,0.5,1797.972
193,F,2,1.46,1568.82
194,F,6,1.5,2974.246
195,M,6,5,3027.156
196,F,1,4.5,1386
197,F,5,1.5,1982.508
198,F,1,0.79,1273.272
199,F,5,1.54,2094.246
200,M,6,0.5,2475
201,F,2,0.5,1459.656
202,M,7,5,3058.902
203,F,7,0.71,3384.656
204,F,2,0.21,1584
205,M,7,4.54,2112
206,F,2,2.29,1662.672
207,F,1,0.88,1313.664
208,F,2,0.54,1370.82
209,F,2,2.5,1663.2
210,M,1,3.5,2208.8
211,M,7,5,2547.402
212,F,7,2.5,3405.82
213,F,7,0.5,3410
214,F,5,3.5,1887.6
215,M,6,2.5,2208.492
216,F,7,5,4158.902
217,F,5,1.5,1967.328
218,M,7,0.79,2094.246
219,M,7,0.5,2640
220,F,3,0.5,1853.082
221,M,7,2.5,2487.672
222,M,5,2.5,2618
223,F,7,3.5,3460.82
224,F,2,0.71,1518
225,F,5,4.96,2113.32
226,F,2,0.79,1675.41
227,M,8,0.5,3122.328
228,M,7,5,2766.984
229,F,3,1.5,1980
230,M,3,1.5,2208.8
231,F,6,0.38,3291.574
232,F,5,2.5,2049.828
233,M,3,0.5,2241.8
234,F,7,2.5,3422.672
235,F,3,0.5,1681.746
236,F,6,1.5,3253.492
237,F,2,0.5,1518
238,M,6,0.5,2601.984
239,F,5,0.21,1840.41
240,F,5,0.5,2043.492
241,F,5,1.5,1837.242
242,F,3,1.5,1949.574
243,M,5,0.5,2212.892
244,F,6,0.5,2923.492
245,M,7,2.5,2354.484
246,F,4,0.96,1605.384
247,F,4,0.5,1675.41
248,F,7,0.5,3416.336
249,F,6,3.29,3494.656
250,F,7,1.29,3257.738
251,F,3,5,2091.738
252,F,1,0.5,1332.738
253,F,5,0.5,1772.892
254,F,2,1.21,1584
255,F,6,0.5,3037.738
256,F,7,2.5,3384.59